Article_ID;Study_ID;Comparative_study_code;Publication_Year;Newspaper;Publisher;Article_Population;Population_studied;Population_homogenized;Group_taxo_included;Taxonomic_resolution;Taxonomic_detailed;Number_of_species_sampled;Number_of_collected_individuals;Ecological_group;Intervention_R1;Intervention_R2;Intervention_R3;Intervention_copy_paste;Moderator season;Moderator crop rotation;Moderator sampling location;Comparator;Outcome_indicator;Number_of_species;Outcome_metric;Outcome_divided_into_classes;Class;Outcome_type_R1;Outcome_type_R2;Outcome_type_R3;Data location;Hypothesis;Trait_set;Number_of_traits;Trait_group;Number of trait groups;Study_country;Study_design;Source
;s_5;Pelosi_2013_11;2013;Applied Soil Ecology;Elsevier;Earthworm;Earthworms;Earthworms;Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea;Family;Family Lumbricidae;11;NA;Epigeic, Anecic, Endogeic;Individual practice;Tillage management;Plowing;P;;;;Superficial tillage;Surface density;11;Individuals.m?ý;No;NA;Taxonomical;NA;Univariate;Boxplot, Figure 2.A;First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.;NA;NA;NA;NA;France;CI : gradient;NA
;s_5;Pelosi_2013_12;2013;Applied Soil Ecology;Elsevier;Earthworm;Earthworms;Earthworms;Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea;Family;Family Lumbricidae;11;NA;Epigeic, Anecic, Endogeic;Individual practice;Tillage management;Plowing;P;;;;Direct-seeding;Surface density;11;Individuals.m?ý;No;NA;Taxonomical;NA;Univariate;Boxplot, Figure 2.B;First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.;NA;NA;NA;NA;France;CI : gradient;NA
;s_5;Pelosi_2013_13;2013;Applied Soil Ecology;Elsevier;Earthworm;Earthworms;Earthworms;Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea;Family;Family Lumbricidae;11;NA;Epigeic, Anecic, Endogeic;Individual practice;Tillage management;Plowing;P;;;;Superficial tillage;Surface density;11;Individuals.m?ý;No;NA;Taxonomical;NA;Univariate;Boxplot, Figure 2.C;First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.;NA;NA;NA;NA;France;CI : gradient;NA
;s_5;Pelosi_2013_14;2013;Applied Soil Ecology;Elsevier;Earthworm;Earthworms;Earthworms;Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea;Family;Family Lumbricidae;11;NA;Epigeic, Anecic, Endogeic;Individual practice;Tillage management;Superficial tillage;ST;;;;Direct-seeding;Surface density;11;Individuals.m?ý;No;NA;Taxonomical;NA;Univariate;Boxplot, Figure 2.D;First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.;NA;NA;NA;NA;France;CI : gradient;NA
;s_5;Pelosi_2013_15;2013;Applied Soil Ecology;Elsevier;Earthworm;Earthworms;Earthworms;Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea;Family;Family Lumbricidae;11;NA;Epigeic, Anecic, Endogeic;Individual practice;Tillage management;Plowing;P;;;;Direct-seeding;Surface density;11;Individuals.m?ý;No;NA;Taxonomical;NA;Univariate;Boxplot, Figure 2.D;First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.;NA;NA;NA;NA;France;CI : gradient;NA
;s_5;Pelosi_2013_16;2013;Applied Soil Ecology;Elsevier;Earthworm;Earthworms;Earthworms;Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea;Family;Family Lumbricidae;11;NA;Epigeic, Anecic, Endogeic;Individual practice;Tillage management;Plowing;P;;;;Superficial tillage;Surface density;11;Individuals.m?ý;No;NA;Taxonomical;NA;Univariate;Boxplot, Figure 2.D;First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.;NA;NA;NA;NA;France;CI : gradient;NA
;s_5;Pelosi_2013_17;2013;Applied Soil Ecology;Elsevier;Earthworm;Earthworms;Earthworms;Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea;Family;Family Lumbricidae;11;NA;Epigeic, Anecic, Endogeic;Individual practice;Tillage management;Superficial tillage;ST;;;;Direct-seeding;Rao's quadratic diversity;11;NA;No;NA;Functional;Multitrait based;Univariate;Boxplot, Figure 3.A;First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.;Body length, Body mass/length ratio, Epithelium type, Cocoon diameter, Typhlosolis type, Vertical distribution, Carbon requirement;7;Morphological, Behavioral, Physiological;3;France;CI : gradient;Bouch‚ (1972), Sims and Gerard (1999), Gerard (1967), Lavelle (1998), Rundgren (1975)
;s_5;Pelosi_2013_18;2013;Applied Soil Ecology;Elsevier;Earthworm;Earthworms;Earthworms;Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea;Family;Family Lumbricidae;11;NA;Epigeic, Anecic, Endogeic;Individual practice;Tillage management;Plowing;P;;;;Direct-seeding;Rao's quadratic diversity;11;NA;No;NA;Functional;Multitrait based;Univariate;Boxplot, Figure 3.A;First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.;Body length, Body mass/length ratio, Epithelium type, Cocoon diameter, Typhlosolis type, Vertical distribution, Carbon requirement;7;Morphological, Behavioral, Physiological;3;France;CI : gradient;Bouch‚ (1972), Sims and Gerard (1999), Gerard (1967), Lavelle (1998), Rundgren (1975)
;s_5;Pelosi_2013_19;2013;Applied Soil Ecology;Elsevier;Earthworm;Earthworms;Earthworms;Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea;Family;Family Lumbricidae;11;NA;Epigeic, Anecic, Endogeic;Individual practice;Tillage management;Plowing;P;;;;Superficial tillage;Rao's quadratic diversity;11;NA;No;NA;Functional;Multitrait based;Univariate;Boxplot, Figure 3.A;First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.;Body length, Body mass/length ratio, Epithelium type, Cocoon diameter, Typhlosolis type, Vertical distribution, Carbon requirement;7;Morphological, Behavioral, Physiological;3;France;CI : gradient;Bouch‚ (1972), Sims and Gerard (1999), Gerard (1967), Lavelle (1998), Rundgren (1975)
;s_5;Pelosi_2013_20;2013;Applied Soil Ecology;Elsevier;Earthworm;Earthworms;Earthworms;Lumbricus castaneus, Lumbricus rubellus, Satchellius mammalis, Lumbricus terrestris, Aporrectodea nocturna, Aporrectodea longa, Aporrectodea giardi, Allolobophora chlorotica, Aporrectodea icterica, Aporrectodea caliginosa, Aporrectodea rosea;Family;Family Lumbricidae;11;NA;Epigeic, Anecic, Endogeic;Individual practice;Tillage management;Plowing;P;;;;Direct-seeding;Rao's quadratic diversity;11;NA;No;NA;Functional;Multitrait based;Univariate;Boxplot, Figure 3.B;First, concerning ecomorphological groups, we hypothesized that (1) mechanical de-intensification changes their distribution, favoring anecics, as well as the species living in the topsoil, mostly epigeics, due to the progressive establishment of an organic layer. Second, tillage acts as an environmental filter, hence (2) functional traits converge to a narrower range of values with increasing of intensity of tillage. Regarding the diversity of traits, four sub-hypotheses are considered: (3.1) the largest and the most fragile (with a supple epithelium) organisms are most affected by intensive tillage. (3.2) More earthworms with a larger feather typhlosolis are found in plots with lower nutrient availability, i.e. the plowed plots. This hypothesis is based on Stevens and Hume (1995) who found that a larger feather typhlosolis is associated with higher nutrient uptake efficiency.;Body length, Body mass/length ratio, Epithelium type, Cocoon diameter, Typhlosolis type, Vertical distribution, Carbon requirement;7;Morphological, Behavioral, Physiological;3;France;CI : gradient;Bouch‚ (1972), Sims and Gerard (1999), Gerard (1967), Lavelle (1998), Rundgren (1975)
